name,url,postal_code,city
Boekhandel Jacques Baas,https://libris.nl/boekhandeljacquesbaas,3971 GN,Driebergen-Rijsenburg
Boek- en Kantoorvakhandel Sikkers,https://libris.nl/sikkers,5151 BP,Drunen
Boekwinkel 't Pakhuys,https://libris.nl/pakhuysboeken,1135 AP,Edam
Boek en Buro Ede,https://libris.nl/boek-en-buro,6711 AM,Ede
Boekhandel Hendriks,https://libris.nl/boekhandelhendriks,6961 CW,Eerbeek
Boekhandel Dekker & Dekker,https://libris.nl/boekhandeldekker,1931 AK,Egmond aan Zee
Boekhandel Gellekink,https://libris.nl/gellekink,7151 AG,Eibergen
Boekhandel Van Grinsven (Eindhoven),https://libris.nl/vangrinsven,5643 AS,Eindhoven
Boekhandel Van Piere,https://www.vanpiere.nl,5611 AM,Eindhoven
Relay Eindhoven Airport,https://libris.nl/relay,5657 EA,Eindhoven
Elburger Boekhandel,https://libris.nl/elburgerboekhandel,8081 ER,Elburg
Boekhandel Vermeer,https://libris.nl/boekhandelvermeer,7811 AL,Emmen
Boekhandel Stumpel Enkhuizen,https://www.stumpel.nl,1601 AM,Enkhuizen
Boekwinkel De Grote Beer,https://libris.nl/boekwinkeldegrotebeer,8801 LV,Franeker
Boekhandel Van Grinsven (Geldrop),https://libris.nl/vangrinsven,5664 HE,Geldrop
Paard van Troje Gent,https://libris.nl/gent-paardvantroje,9000,Gent
Miek-Kado Boek-Kadoshop,https://libris.nl/miek-kado,3381 AH,Giessenburg
De Koperen Tuin,https://libris.nl/koperentuin,4461 KA,Goes
Het Paard van Troje,https://libris.nl/paardvantroje,4461 JP,Goes
Blz. Boekhandel Buitelaar,https://libris.nl/buitelaar,5051 NP,Goirle
Boekhandel Struik,https://libris.nl/boekhandelstruik,7471 BL,Goor
De Boekenkist,https://libris.nl/de-boekenkist,4201 KA,Gorinchem
Planteyn Boeken,https://libris.nl/planteyn,8401 DE,Gorredijk
Kantoorboekhandel Bechtle,https://www.debechtle.nl,7213 CX,Gorssel
Paagman Gouda,https://www.verkaaikboeken.nl,2801 KE,Gouda
Primera Boekhandel Beren,https://libris.nl/boekhandel-beren,9714 DW,Groningen
Primera Boekhandel Paddepoel,https://libris.nl/boekhandelpaddepoel,9742 AK,Groningen
Van der Velde Boeken Groningen A-kerkhof,https://www.vanderveldeboeken.nl,9712 BC,Groningen
Van der Velde Boeken Groningen Grote Markt,https://www.vanderveldeboeken.nl,9712 HV,Groningen
Primera Boekhandel Grootegast,https://libris.nl/boekhandelgrootegast,9861 AK,Grootegast
Boek en Buro Haaksbergen,https://libris.nl/boek-en-buro,7481 HX,Haaksbergen
Athenaeum Boekhandel Haarlem,https://athenaeumscheltema.nl/haarlem,2011 GT,Haarlem
De Vries Van Stockum (Haarlem),https://libris.nl/devriesvanstockum-boeken,2011 GK,Haarlem
Kennemer Boekhandel,https://libris.nl/kennemerboekhandel,2023 CA,Haarlem
Boekhandel Heijink,https://libris.nl/boekhandelheijink,7772 AE,Hardenberg
Boomker Boeken,https://libris.nl/boomker,9751 AM,Haren
Van der Velde Boeken Harlingen,https://www.vanderveldeboeken.nl,8861 BM,Harlingen
Boekhandel Stumpel Heemskerk,https://www.stumpel.nl,1961 NW,Heemskerk
Boekhandel Blokker,https://libris.nl/blokker,2101 JP,Heemstede
Boekhandel Binnert Overdiep,https://www.binnertoverdiep.nl,8442 BS,Heerenveen
Boekhandel Stumpel Heerhugowaard,https://www.stumpel.nl,1703 SH,Heerhugowaard
Boekhandel Dominicanen Heerlen,https://www.boekhandeldominicanen.nl,6411 JK,Heerlen
Boekhandel Heesch,https://libris.nl/boekhandelheesch,5384 AN,Heesch
Boek en Kantoor De Ganzenveer,https://libris.nl/ganzenveer,5701 PZ,Helmond
Kantoorboekhandel Peter Swaanen,https://libris.nl/peterswaanen,5081 CL,Hilvarenbeek
Boekhandel Voorhoeve,https://libris.nl/voorhoeve,1211 CR,Hilversum
Boekhandel Hoevelaken,https://libris.nl/boekhandelhoevelaken,3871 AM,Hoevelaken
Boekhandel Stevens,https://libris.nl/stevens,2132 CM,Hoofddorp
Pet Boekverkopers,https://libris.nl/pet-boekverkopers,7901 JV,Hoogeveen
Boekhandel Stumpel Hoorn (Grote Noord),https://www.stumpel.nl,1621 KG,Hoorn
Boekhandel Stumpel Hoorn (Huesmolen),https://www.stumpel.nl,1625 HZ,Hoorn
Boekhandel Flevo,https://libris.nl/flevo,1271 RR,Huizen
Boekhandel Remortel - Hulst,https://libris.nl/remortel-hulst,4561 EJ,Hulst
Boekhandel Holtrop,https://libris.nl/boekhandelholtrop,8501 AS,Joure
Boekhandel Lectori,https://libris.nl/lectori,4421 AC,Kapelle
Afhaalpunt Katwijk (enkel vooraf betaalde bestellingen afhalen) Brownies & Downies,https://libris.nl/vandermeer,2225 CS,Katwijk aan Zee
Boekhandel Deurenberg,https://libris.nl/boekhandeldeurenberg,6461 AS,Kerkrade
Boekwinkel Omlo,https://libris.nl/boekwinkelomlo,7891 GG,Klazienaveen
Boekhandel CW 76,https://libris.nl/boekhandelcw76,1241 CP,Kortenhoef
Boekhandel Crimpenhof,https://libris.nl/boekhandelcrimpenhof,2922 AJ,Krimpen aan den IJssel
Boekhandel Stumpel Krommenie,https://www.stumpel.nl,1561 AP,Krommenie
Larense Boekhandel,https://libris.nl/larenseboekhandel,1251 AW,Laren
